X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
1.5, 1.5, 0, -27.703, -116.16, 3, 3, 3, 3
1.5, 1.5, 0.5, -37.729, -0.32549, 5, 5, 5, 5
1.5, 1.5, 1, nan, nan, 5, 5, 5, 5
1.5, 1.5, 1.5, -24.556, -110.75, 5, 5, 5, 5
1.5, 1.5, 2, nan, nan, 5, 5, 5, 5
1.5, 1.5, 2.5, -33.549, 15.676, 5, 5, 5, 5
1.5, 1.5, 3, -39.33, 171.41, 5, 5, 5, 5
1.5, 1.5, 3.5, nan, nan, 5, 5, 5, 5
1.5, 1.5, 4, -31.8, -81.565, 3, 3, 3, 3
2, -1.5, 0, -28.947, 96.679, 3, 3, 3, 3
2, -1.5, 0.5, -24.845, 86.391, 5, 5, 5, 5
2, -1.5, 1, nan, nan, 5, 5, 5, 5
2, -1.5, 1.5, nan, nan, 5, 5, 5, 5
2, -1.5, 2, nan, nan, 5, 5, 5, 5
2, -1.5, 2.5, -26.735, 88.522, 5, 5, 5, 5
2, -1.5, 3, nan, nan, 5, 5, 5, 5
2, -1.5, 3.5, -29.374, 95.491, 5, 5, 5, 5
2, -1.5, 4, -27.881, 145.74, 3, 3, 3, 3
2, -1, 0, nan, nan, 5, 5, 5, 5
2, -1, 0.5, -19.566, 71.647, 5, 5, 5, 5
2, -1, 1, -25.35, 98.16, 5, 5, 5, 5
2, -1, 1.5, -24.07, 52.696, 5, 5, 5, 5
2, -1, 2, -25.766, 101.22, 5, 5, 5, 5
2, -1, 2.5, -19.585, 71.312, 5, 5, 5, 5
2, -1, 3, -28.067, -99.99, 5, 5, 5, 5
2, -1, 3.5, -30.091, 173.52, 5, 5, 5, 5
2, -1, 4, nan, nan, 5, 5, 5, 5
2, -0.5, 0, -23.569, -150.59, 5, 5, 5, 5
2, -0.5, 0.5, -20.164, 141.27, 5, 5, 5, 5
2, -0.5, 1, -22.472, -112.05, 5, 5, 5, 5
2, -0.5, 1.5, -21.437, -175.32, 5, 5, 5, 5
2, -0.5, 2, -21.964, -114.63, 5, 5, 5, 5
2, -0.5, 2.5, -19.11, 139.36, 5, 5, 5, 5
2, -0.5, 3, -24.24, -156.93, 5, 5, 5, 5
2, -0.5, 3.5, -25.157, -101.81, 5, 5, 5, 5
2, -0.5, 4, -35.989, 97.919, 5, 5, 5, 5
2, 0, 0, -21.856, 69.978, 5, 5, 5, 5
2, 0, 0.5, -18.022, 128.91, 5, 5, 5, 5
2, 0, 1, -23.374, -29.308, 5, 5, 5, 5
2, 0, 1.5, -20.415, 1.2429, 5, 5, 5, 5
2, 0, 2, -22.973, -35.558, 5, 5, 5, 5
2, 0, 2.5, -18.296, 135.57, 5, 5, 5, 5
2, 0, 3, -22.039, 67.38, 5, 5, 5, 5
2, 0, 3.5, -28.76, 2.3728, 5, 5, 5, 5
2, 0, 4, nan, nan, 5, 5, 5, 5
2, 0.5, 0, nan, nan, 5, 5, 5, 5
2, 0.5, 0.5, -21.958, -34.521, 5, 5, 5, 5
2, 0.5, 1, -17.522, -33.568, 5, 5, 5, 5
2, 0.5, 1.5, -15.104, -70.54, 5, 5, 5, 5
2, 0.5, 2, -18.055, -36.939, 5, 5, 5, 5
2, 0.5, 2.5, -21.073, -37.218, 5, 5, 5, 5
2, 0.5, 3, -23.122, -92.953, 5, 5, 5, 5
2, 0.5, 3.5, -24.038, 64.545, 5, 5, 5, 5
2, 0.5, 4, -44.088, 53.715, 5, 5, 5, 5
2, 1, 0, nan, nan, 5, 5, 5, 5
2, 1, 0.5, -19.351, -71.387, 5, 5, 5, 5
2, 1, 1, -22.163, -122.29, 5, 5, 5, 5
2, 1, 1.5, -22.238, -47.318, 5, 5, 5, 5
2, 1, 2, -22.79, -118.83, 5, 5, 5, 5
2, 1, 2.5, -19.938, -77.374, 5, 5, 5, 5
2, 1, 3, -21.806, -173.54, 5, 5, 5, 5
2, 1, 3.5, -29.436, -43.235, 5, 5, 5, 5
2, 1, 4, -25.48, -119.26, 5, 5, 5, 5
2, 1.5, 0, -26.954, -139.58, 3, 3, 3, 3
2, 1.5, 0.5, nan, nan, 5, 5, 5, 5
2, 1.5, 1, nan, nan, 5, 5, 5, 5
2, 1.5, 1.5, -35.823, -54.998, 5, 5, 5, 5
2, 1.5, 2, nan, nan, 5, 5, 5, 5
2, 1.5, 2.5, nan, nan, 5, 5, 5, 5
2, 1.5, 3, nan, nan, 5, 5, 5, 5
2, 1.5, 3.5, -37.934, 160.1, 5, 5, 5, 5
2, 1.5, 4, -37.691, 6.1212, 3, 3, 3, 3
2.5, -1.5, 0, -27.238, 82.385, 3, 3, 3, 3
2.5, -1.5, 0.5, nan, nan, 5, 5, 5, 5
2.5, -1.5, 1, nan, nan, 5, 5, 5, 5
2.5, -1.5, 1.5, -45.38, 117.39, 5, 5, 5, 5
2.5, -1.5, 2, nan, nan, 5, 5, 5, 5
2.5, -1.5, 2.5, nan, nan, 5, 5, 5, 5
2.5, -1.5, 3, -32.053, 105.13, 5, 5, 5, 5
2.5, -1.5, 3.5, -30.302, 150.34, 5, 5, 5, 5
2.5, -1.5, 4, -33.62, -9.7032, 3, 3, 3, 3
2.5, -1, 0, -30.193, 57.114, 5, 5, 5, 5
2.5, -1, 0.5, -19.892, 112.82, 5, 5, 5, 5
2.5, -1, 1, -21.499, 42.147, 5, 5, 5, 5
2.5, -1, 1.5, -24.599, -82.479, 5, 5, 5, 5
2.5, -1, 2, -20.648, 37.391, 5, 5, 5, 5
2.5, -1, 2.5, -20.706, 116.88, 5, 5, 5, 5
2.5, -1, 3, -28.828, 46.582, 5, 5, 5, 5
2.5, -1, 3.5, -24.81, 103.41, 5, 5, 5, 5
2.5, -1, 4, -26.044, 132.67, 5, 5, 5, 5
2.5, -0.5, 0, -21.661, -167.59, 5, 5, 5, 5
2.5, -0.5, 0.5, -24.893, -19.377, 5, 5, 5, 5
2.5, -0.5, 1, -20.636, -38.34, 5, 5, 5, 5
2.5, -0.5, 1.5, -19.98, -145.31, 5, 5, 5, 5
2.5, -0.5, 2, -20.554, -41.99, 5, 5, 5, 5
2.5, -0.5, 2.5, -25.571, -31.424, 5, 5, 5, 5
2.5, -0.5, 3, -22.156, -167.06, 5, 5, 5, 5
2.5, -0.5, 3.5, -34.586, 134.24, 5, 5, 5, 5
2.5, -0.5, 4, -28.797, 52.291, 5, 5, 5, 5
2.5, 0, 0, -25.435, -94.675, 5, 5, 5, 5
2.5, 0, 0.5, -20.159, 126.72, 5, 5, 5, 5
2.5, 0, 1, -17.203, -164.95, 5, 5, 5, 5
2.5, 0, 1.5, -18.092, 80.843, 5, 5, 5, 5
2.5, 0, 2, -16.496, -167.47, 5, 5, 5, 5
2.5, 0, 2.5, -21.109, 133.42, 5, 5, 5, 5
2.5, 0, 3, -25.958, -103.15, 5, 5, 5, 5
2.5, 0, 3.5, -26.38, 106.39, 5, 5, 5, 5
2.5, 0, 4, -24.723, -65.864, 5, 5, 5, 5
2.5, 0.5, 0, -22.29, -52.22, 5, 5, 5, 5
2.5, 0.5, 0.5, -23.038, 130, 5, 5, 5, 5
2.5, 0.5, 1, -26.377, -26.497, 5, 5, 5, 5
2.5, 0.5, 1.5, -18.274, -86.044, 5, 5, 5, 5
2.5, 0.5, 2, -24.921, -23.462, 5, 5, 5, 5
2.5, 0.5, 2.5, -23.79, 132.37, 5, 5, 5, 5
2.5, 0.5, 3, -22.19, -50.19, 5, 5, 5, 5
2.5, 0.5, 3.5, -38.397, 149.21, 5, 5, 5, 5
2.5, 0.5, 4, -26.489, -174.28, 5, 5, 5, 5
2.5, 1, 0, -25.222, 131.83, 5, 5, 5, 5
2.5, 1, 0.5, -33.358, 99.07, 5, 5, 5, 5
2.5, 1, 1, -21.632, -82.668, 5, 5, 5, 5
2.5, 1, 1.5, -16.997, -162.95, 5, 5, 5, 5
2.5, 1, 2, -21.562, -86.735, 5, 5, 5, 5
2.5, 1, 2.5, -29.314, 102.83, 5, 5, 5, 5
2.5, 1, 3, -24.666, 124.83, 5, 5, 5, 5
2.5, 1, 3.5, -22.137, -105.81, 5, 5, 5, 5
2.5, 1, 4, nan, nan, 5, 5, 5, 5
2.5, 1.5, 0, -23.456, -72.576, 3, 3, 3, 3
2.5, 1.5, 0.5, nan, nan, 5, 5, 5, 5
2.5, 1.5, 1, nan, nan, 5, 5, 5, 5
2.5, 1.5, 1.5, nan, nan, 5, 5, 5, 5
2.5, 1.5, 2, nan, nan, 5, 5, 5, 5
2.5, 1.5, 2.5, nan, nan, 5, 5, 5, 5
2.5, 1.5, 3, nan, nan, 5, 5, 5, 5
2.5, 1.5, 3.5, nan, nan, 5, 5, 5, 5
2.5, 1.5, 4, -28.779, -151.74, 3, 3, 3, 3
3, -1.5, 0, -24.266, -178.64, 3, 3, 3, 3
3, -1.5, 0.5, -27.112, -32.921, 5, 5, 5, 5
3, -1.5, 1, -39.926, 168.01, 5, 5, 5, 5
3, -1.5, 1.5, nan, nan, 5, 5, 5, 5
3, -1.5, 2, -38.947, -175.51, 5, 5, 5, 5
3, -1.5, 2.5, -26.1, -31.335, 5, 5, 5, 5
3, -1.5, 3, nan, nan, 5, 5, 5, 5
3, -1.5, 3.5, nan, nan, 5, 5, 5, 5
3, -1.5, 4, -27.447, -35.894, 3, 3, 3, 3
3, -1, 0, -35.25, 49.582, 5, 5, 5, 5
3, -1, 0.5, -21.015, -52.692, 5, 5, 5, 5
3, -1, 1, -20.507, 165.12, 5, 5, 5, 5
3, -1, 1.5, -21.159, 4.633, 5, 5, 5, 5
3, -1, 2, -20.267, 164.4, 5, 5, 5, 5
3, -1, 2.5, -21.347, -50.908, 5, 5, 5, 5
3, -1, 3, -34.128, 53.169, 5, 5, 5, 5
3, -1, 3.5, -23.434, 145.85, 5, 5, 5, 5
3, -1, 4, -36.821, 38.734, 5, 5, 5, 5
3, -0.5, 0, -21.102, -45.546, 5, 5, 5, 5
3, -0.5, 0.5, -25.606, -15.086, 5, 5, 5, 5
3, -0.5, 1, -21.738, -121.3, 5, 5, 5, 5
3, -0.5, 1.5, -22.198, 106.91, 5, 5, 5, 5
3, -0.5, 2, -22.068, -121.93, 5, 5, 5, 5
3, -0.5, 2.5, -24.894, -11.858, 5, 5, 5, 5
3, -0.5, 3, -21.784, -47.19, 5, 5, 5, 5
3, -0.5, 3.5, -25.829, 28.351, 5, 5, 5, 5
3, -0.5, 4, -25.167, 118.17, 5, 5, 5, 5
3, 0, 0, -25.583, -105.24, 5, 5, 5, 5
3, 0, 0.5, -22.26, -32.332, 5, 5, 5, 5
3, 0, 1, -17.477, -57.129, 5, 5, 5, 5
3, 0, 1.5, -16.877, 156.34, 5, 5, 5, 5
3, 0, 2, -18.103, -61.049, 5, 5, 5, 5
3, 0, 2.5, -22.346, -24.4, 5, 5, 5, 5
3, 0, 3, -25.969, -113.66, 5, 5, 5, 5
3, 0, 3.5, -22.829, -78.035, 5, 5, 5, 5
3, 0, 4, nan, nan, 5, 5, 5, 5
3, 0.5, 0, -28.148, 167.92, 5, 5, 5, 5
3, 0.5, 0.5, -25.936, -32.244, 5, 5, 5, 5
3, 0.5, 1, -21.363, -38.464, 5, 5, 5, 5
3, 0.5, 1.5, -17.56, -168.8, 5, 5, 5, 5
3, 0.5, 2, -20.535, -40.431, 5, 5, 5, 5
3, 0.5, 2.5, -26.296, -24.762, 5, 5, 5, 5
3, 0.5, 3, -28.512, 174.51, 5, 5, 5, 5
