X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
12.5, -0.5, 2, -27.396, -9.3414, 5, 5, 5, 5
12.5, 0, 2, -36.426, -122.35, 5, 5, 5, 5
12.5, 0.5, 2, -35.186, 134.87, 5, 5, 5, 5
12.5, 1, 2, -32.844, 128.1, 5, 5, 5, 5
12.5, 1.5, 2, -37.034, -55.373, 5, 5, 5, 5
13, -1.5, 2, nan, nan, 5, 5, 5, 5
13, -1, 2, -30.742, -50.779, 5, 5, 5, 5
13, -0.5, 2, -28.331, -72.339, 5, 5, 5, 5
13, 0, 2, -35.032, -140.46, 5, 5, 5, 5
13, 0.5, 2, -26.761, 40.832, 5, 5, 5, 5
13, 1, 2, -26.763, 55.911, 5, 5, 5, 5
13, 1.5, 2, -35.978, 36.339, 5, 5, 5, 5
13.5, -1.5, 2, -38.298, -42.616, 5, 5, 5, 5
13.5, -1, 2, -35.627, -79.095, 5, 5, 5, 5
13.5, -0.5, 2, -34.313, -162.02, 5, 5, 5, 5
13.5, 0, 2, -41.006, -54.274, 5, 5, 5, 5
13.5, 0.5, 2, -34.307, -31.338, 5, 5, 5, 5
13.5, 1, 2, -31.884, -90.723, 5, 5, 5, 5
13.5, 1.5, 2, nan, nan, 5, 5, 5, 5
14, -1.5, 2, -36.597, -75.191, 5, 5, 5, 5
14, -1, 2, -37.345, -77.507, 5, 5, 5, 5
14, -0.5, 2, -33.296, 61.905, 5, 5, 5, 5
14, 0, 2, -30.495, -86.991, 5, 5, 5, 5
14, 0.5, 2, -32.216, 159.27, 5, 5, 5, 5
14, 1, 2, -28.558, -176.35, 5, 5, 5, 5
14, 1.5, 2, nan, nan, 5, 5, 5, 5
14.5, -1.5, 2, -37.044, -119.74, 5, 5, 5, 5
14.5, -1, 2, -32.649, -119.98, 5, 5, 5, 5
14.5, -0.5, 2, -30.301, -28.687, 5, 5, 5, 5
14.5, 0, 2, -30.783, -156.7, 5, 5, 5, 5
14.5, 0.5, 2, -32.634, 98.867, 5, 5, 5, 5
14.5, 1, 2, -32.308, 28.999, 5, 5, 5, 5
14.5, 1.5, 2, nan, nan, 5, 5, 5, 5
15, -1.5, 2, nan, nan, 5, 5, 5, 5
15, -1, 2, -29.399, 179.91, 5, 5, 5, 5
15, -0.5, 2, -29.333, -111.16, 5, 5, 5, 5
15, 0, 2, -34.812, 90.029, 5, 5, 5, 5
15, 0.5, 2, -48.54, -153.13, 5, 5, 5, 5
15, 1, 2, -27.047, -63.468, 5, 5, 5, 5
15, 1.5, 2, nan, nan, 5, 5, 5, 5
15.5, -1.5, 2, nan, nan, 5, 5, 5, 5
15.5, -1, 2, -28.762, 113.13, 5, 5, 5, 5
15.5, -0.5, 2, -29.733, 176.22, 5, 5, 5, 5
15.5, 0, 2, -32.014, -38.385, 5, 5, 5, 5
15.5, 0.5, 2, -32.602, 167.17, 5, 5, 5, 5
15.5, 1, 2, -31.873, -167.36, 5, 5, 5, 5
15.5, 1.5, 2, -36.401, 122.06, 5, 5, 5, 5
16, -1.5, 2, nan, nan, 5, 5, 5, 5
16, -1, 2, -29.751, 31.393, 5, 5, 5, 5
