X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
9.5, 1.5, 2, nan, nan, 12, 12, 12, 9
10, -1.5, 2, nan, nan, 12, 12, 12, 9
10, -1, 2, -28.076, 47.263, 12, 12, 12, 9
10, -0.5, 2, -24.355, 14.531, 12, 12, 12, 9
10, 0, 2, -38.826, -108.13, 14, 14, 14, 9
10, 0.5, 2, -24.355, 14.531, 12, 12, 12, 9
10, 1, 2, -28.076, 47.263, 12, 12, 12, 9
10, 1.5, 2, nan, nan, 12, 12, 12, 9
10.5, -1.5, 2, nan, nan, 12, 12, 12, 9
10.5, -1, 2, -26.168, 87.314, 12, 12, 12, 9
10.5, -0.5, 2, -36.862, 61.047, 12, 12, 12, 9
10.5, 0, 2, -27.316, 6.08, 14, 14, 14, 9
10.5, 0.5, 2, -36.862, 61.047, 12, 12, 12, 9
10.5, 1, 2, -26.168, 87.314, 12, 12, 12, 9
10.5, 1.5, 2, nan, nan, 12, 12, 12, 9
11, -1.5, 2, nan, nan, 12, 12, 12, 9
11, -1, 2, -32.614, 11.953, 12, 12, 12, 9
11, -0.5, 2, -28.388, -140, 12, 12, 12, 9
11, 0, 2, -34.184, 20.173, 14, 14, 14, 9
11, 0.5, 2, -28.388, -140, 12, 12, 12, 9
11, 1, 2, -32.614, 11.953, 12, 12, 12, 9
11, 1.5, 2, nan, nan, 12, 12, 12, 9
11.5, -1.5, 2, nan, nan, 12, 12, 12, 9
11.5, -1, 2, -25.279, 25.138, 12, 12, 12, 9
11.5, -0.5, 2, -29.022, 178.27, 12, 12, 12, 9
11.5, 0, 2, -29.224, -179.46, 14, 14, 14, 9
11.5, 0.5, 2, -29.022, 178.27, 12, 12, 12, 9
11.5, 1, 2, -25.279, 25.138, 12, 12, 12, 9
11.5, 1.5, 2, nan, nan, 12, 12, 12, 9
12, -1.5, 2, nan, nan, 12, 12, 12, 9
12, -1, 2, -33.568, -54.325, 12, 12, 12, 9
12, -0.5, 2, -26.114, 107.5, 12, 12, 12, 9
12, 0, 2, -24.11, 163.39, 14, 14, 14, 9
12, 0.5, 2, -26.114, 107.5, 12, 12, 12, 9
12, 1, 2, -33.568, -54.325, 12, 12, 12, 9
12, 1.5, 2, nan, nan, 12, 12, 12, 9
12.5, -1.5, 2, -40.281, -109.35, 12, 12, 12, 9
12.5, -1, 2, -33.849, -71.918, 12, 12, 12, 9
12.5, -0.5, 2, -28.353, 86.028, 12, 12, 12, 9
12.5, 0, 2, -27.873, 136.54, 14, 14, 14, 9
12.5, 0.5, 2, -28.353, 86.028, 12, 12, 12, 9
12.5, 1, 2, -33.849, -71.918, 12, 12, 12, 9
12.5, 1.5, 2, -40.281, -109.35, 12, 12, 12, 9
13, -1.5, 2, nan, nan, 12, 12, 12, 9
13, -1, 2, -34.253, -71.235, 12, 12, 12, 9
13, -0.5, 2, -34.138, 86.378, 12, 12, 12, 9
13, 0, 2, -37.185, -154.82, 15, 15, 15, 9
13, 0.5, 2, -34.138, 86.378, 12, 12, 12, 9
13, 1, 2, -34.253, -71.235, 12, 12, 12, 9
13, 1.5, 2, nan, nan, 12, 12, 12, 9
13.5, -1.5, 2, nan, nan, 12, 12, 12, 9
13.5, -1, 2, -32.251, 5.7085, 12, 12, 12, 9
13.5, -0.5, 2, -31.488, -151.47, 12, 12, 12, 9
13.5, 0, 2, -31.962, -164.05, 13, 13, 13, 9
13.5, 0.5, 2, -31.488, -151.47, 12, 12, 12, 9
13.5, 1, 2, -32.251, 5.7085, 12, 12, 12, 9
13.5, 1.5, 2, nan, nan, 12, 12, 12, 9
14, -1.5, 2, -42.465, 178.67, 12, 12, 12, 9
14, -1, 2, -39.778, 91.638, 12, 12, 12, 9
14, -0.5, 2, -27.425, 131.93, 12, 12, 12, 9
14, 0, 2, -28.538, -143.08, 13, 13, 13, 9
14, 0.5, 2, -27.425, 131.93, 12, 12, 12, 9
14, 1, 2, -39.778, 91.638, 12, 12, 12, 9
14, 1.5, 2, -42.465, 178.67, 12, 12, 12, 9
14.5, -1.5, 2, -48.797, 57.476, 12, 12, 12, 9
14.5, -1, 2, -33.478, 179.63, 12, 12, 12, 9
14.5, -0.5, 2, -36.444, 93.207, 12, 12, 12, 9
14.5, 0, 2, -24.779, 148.17, 13, 13, 13, 9
14.5, 0.5, 2, -36.444, 93.207, 12, 12, 12, 9
14.5, 1, 2, -33.478, 179.63, 12, 12, 12, 9
14.5, 1.5, 2, -48.797, 57.476, 12, 12, 12, 9
15, -1.5, 2, nan, nan, 12, 12, 12, 9
15, -1, 2, -32.836, 168.13, 12, 12, 12, 9
15, -0.5, 2, -34.313, -13.979, 12, 12, 12, 9
15, 0, 2, -35.058, 108.41, 13, 13, 13, 9
15, 0.5, 2, -34.313, -13.979, 12, 12, 12, 9
15, 1, 2, -32.836, 168.13, 12, 12, 12, 9
15, 1.5, 2, nan, nan, 12, 12, 12, 9
15.5, -1.5, 2, nan, nan, 12, 12, 12, 9
15.5, -1, 2, -29.042, 93.147, 12, 12, 12, 9
15.5, -0.5, 2, -32.082, -88.467, 12, 12, 12, 9
15.5, 0, 2, -31.318, 68.032, 13, 13, 13, 9
15.5, 0.5, 2, -32.082, -88.467, 12, 12, 12, 9
15.5, 1, 2, -29.042, 93.147, 12, 12, 12, 9
15.5, 1.5, 2, nan, nan, 12, 12, 12, 9
16, -1.5, 2, nan, nan, 12, 12, 12, 9
16, -1, 2, -32.521, 19.211, 12, 12, 12, 9
16, -0.5, 2, -27.478, 176.31, 12, 12, 12, 9
16, 0, 2, -33.05, 139.86, 13, 13, 13, 9
16, 0.5, 2, -27.478, 176.31, 12, 12, 12, 9
16, 1, 2, -32.521, 19.211, 12, 12, 12, 9
16, 1.5, 2, nan, nan, 12, 12, 12, 9
16.5, -1.5, 2, nan, nan, 12, 12, 12, 9
16.5, -1, 2, -33.549, -137.14, 12, 12, 12, 9
16.5, -0.5, 2, -32.095, 164.08, 12, 12, 12, 9
16.5, 0, 2, -33.426, 41.431, 13, 13, 13, 9
16.5, 0.5, 2, -32.095, 164.08, 12, 12, 12, 9
16.5, 1, 2, -33.549, -137.14, 12, 12, 12, 9
16.5, 1.5, 2, nan, nan, 12, 12, 12, 9
17, -1.5, 2, nan, nan, 12, 12, 12, 9
